,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,Documentary,Sci-Fi,Drama,N/A,Fantasy,Horror,Thriller,Action,Adventure,War,Comedy,Music,Mystery,History,Biography,Crime,Family,Romance,Western,Sport,News,Animation,Musical,Short,Reality-TV,Game-Show
0,Simulation Beach,2015,N/A,01 Nov 2015,61 min,"Documentary, Sci-Fi",Edward Kihn,Edward Kihn,N/A,"Cross-cutting between a day in the life of four sites simulating one of the four elements in La Jolla/San Diego, U.S.A.--a.k.a. ""Biotech Beach""--Simulation Beach depicts the paradox of our ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt5369642,movie,N/A,N/A,N/A,N/A,True,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,La muñeca fea,2016,N/A,19 Oct 2016,88 min,"Documentary, Drama","Claudia Lopez, George Reyes",N/A,N/A,"A group of elderly (and still working) sex workers in Mexico City ranging in age from sixty to ninety-five seek peace and find community behind the walls of Casa Xochiquetzal, a refuge ...",Spanish,"Mexico, USA",N/A,https://m.media-amazon.com/images/M/MV5BN2E3NjgxMjUtZGI5MC00ODk0LWFlMzMtNzg1MDgyYzA3MWYxXkEyXkFqcGdeQXVyNTIxMzU3NDM@._V1_SX300.jpg,[],N/A,N/A,N/A,tt1727333,movie,N/A,N/A,N/A,N/A,True,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,29 Needles,2019,N/A,01 May 2019,95 min,N/A,Scott Philip Goergens,Scott Philip Goergens (created by),"Brooke Berry, Jamee Nicholson, Joe Meduza, Ryoko H.","29 Needles is a psycho-sexual body horror which follows Francis Bacon, a very disturbed man with an obsession for pain and sex.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmYyNmE0YjAtMGFlMy00Zjk1LTlhZjMtNTNmOWY5NWQ2NGJjXkEyXkFqcGdeQXVyMjU0MTIxNzQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9218082,movie,N/A,N/A,N/A,N/A,True,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Fire City: End of Days,2015,N/A,22 Jun 2015,101 min,"Fantasy, Horror, Thriller",Tom Woodruff Jr.,"Michael Hayes, Brian Lubocki","Tobias Jelinek, Danielle C. Ryan, Keely Aloña, Kimberly Leemans","Vine, a disillusioned demon, secretly lives with others of his kind in the world of humans sustained by their misery. Forced into a choice to save his brethren or an innocent human girl, ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjEzMTgwOTY2MV5BMl5BanBnXkFtZTgwNDc2NjE3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,653,tt3383214,movie,N/A,N/A,Okay By Me Productions,N/A,True,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Flood,2007,N/A,24 Aug 2007,110 min,"Action, Drama, Thriller",Tony Mitchell,"Justin Bodle, Matthew Cope, Richard Doyle (novel), Nick Morley","Robert Carlyle, Jessalyn Gilsig, Tom Courtenay, Joanne Whalley","Timely, yet terrifying, this movie predicts the unthinkable. When a raging storm coincides with high seas it unleashes a colossal tidal surge, which travels mercilessly down England's East ...",English,"UK, South Africa, Canada",2 nominations.,https://m.media-amazon.com/images/M/MV5BMjA1NDYzMTEwMF5BMl5BanBnXkFtZTcwNjE5MjU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,"5,964",tt0790665,movie,16 Sep 2008,N/A,RHI Entertainment,N/A,True,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Model Fight,2019,TV-MA,18 Apr 2019,82 min,"Action, Adventure, Horror, Sci-Fi, Thriller, War",Kelcey Coe,Kelcey Coe,Lauren Alysse,"With the promise of a multi-million dollar contract, local models are lured into a dilapidated shack disguised as a nightclub and forced to fight to the death before a pay-per-view audience.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWRiY2JkOGMtNjc0Ni00OTNkLWJkNDgtNzY5NjdhNWI3NGU0XkEyXkFqcGdeQXVyMTcxMjQ1NA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10202194,movie,N/A,N/A,N/A,N/A,True,,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Nightmare Man,2006,R,04 Aug 2006,89 min,"Comedy, Horror, Thriller",Rolfe Kanefsky,Rolfe Kanefsky,"Blythe Metz, Luciano Szafir, Aaron Sherry, Jack Sway","After receiving an African fertility mask as a gift Ellen tells her husband William that she's been attacked by masked phantom called 'the Nightmare Man'. As Ellen's paranoia increases, ...",English,USA,5 wins.,https://m.media-amazon.com/images/M/MV5BOTYxODUzMjg3OV5BMl5BanBnXkFtZTcwMDg4MDU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,4.0,"2,227",tt0478216,movie,18 Mar 2008,N/A,After Dark Films,N/A,True,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,The 9/11 Commission Report,2006,R,05 Sep 2006,86 min,"Drama, Thriller",Leigh Scott,Leigh Scott,"Rhett Giles, Marat Glazer, Griff Furst, Sarah Lieving","Independent writer-director Leigh Slawner helms this chilling dramatization of the findings laid out in the best-selling 9/11 Commission Report, a document that sought to analyze the ...","English, Arabic",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI1OTEwMjc5Nl5BMl5BanBnXkFtZTgwMjI2ODM5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}]",N/A,3.1,437,tt0840272,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,The Last Campaign,2005,N/A,19 Aug 2005,108 min,Documentary,Wayne Ewing,N/A,"Darrell McGraw, Warren McGraw","The Last Campaign is a documentary feature film about the 2004 campaign for re-election of Justice Warren McGraw for the West Virginia Supreme Court, dubbed the ""nastiest"" judicial race in ...",English,USA,1 win & 1 nomination.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,5,tt0481558,movie,30 May 2006,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Shamelessly She-Hulk,2009,N/A,10 May 2009,90 min,"Action, Comedy, Drama",Garrett Gilchrist,Garrett Gilchrist,"Kierstyn Elrod, Lesley Youngblood, John Nania, David Pintado",Jenn must help her cousin Bruce Banner with his government problem with General Ross.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDQzYmFjNWYtNTA1YS00ODQyLTgyZjMtMGM1YTdjZTBhYzVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyODA4OTY3OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,26,tt4664384,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
